inst;dist_min;dist_mean;t_orig;tempoCpu_mean
C101_C5x; 385.49; 385.49; 12.51; 5.0
C103_C5x; 341.33; 341.33; 0.5; 0.2
C206_C5x; 417.31; 417.31; 0.0; 0.0
C208_C5x; 381.91; 381.91; 0.0; 0.0
R104_C5x; 317.02; 317.02; 0.0; 0.0
R105_C5x; 453.74; 453.74; 29.69; 11.88
R202_C5x; 347.82; 347.82; 0.0; 0.0
R203_C5x; 371.31; 371.31; 7.2; 2.88
RC105_C5x; 432.64; 437.34; 21.49; 8.6
RC108_C5x; 460.89; 460.89; 3.28; 1.31
RC204_C5x; 332.86; 332.86; 0.02; 0.01
RC208_C5x; 327.3; 327.3; 15.19; 6.08
avg; 0.0; 0.0; 0.0;
C101_C10x; 538.31; 538.31; 13.23; 5.29
C104_C10x; 484.32; 484.32; 7.12; 2.85
C202_C10x; 425.53; 425.53; 2.02; 0.81
C205_C10x; 415.48; 415.48; 1.01; 0.4
R102_C10x; 505.5; 524.59; 22.56; 9.02
R103_C10x; 436.08; 437.51; 3.6; 1.44
R201_C10x; 460.71; 460.71; 16.46; 6.58
R203_C10x; 436.51; 436.51; 0.0; 0.0
RC102_C10x; 618.75; 618.75; 11.03; 4.41
RC108_C10x; 559.88; 559.88; 0.02; 0.01
RC201_C10x; 495.54; 495.54; 2.53; 1.01
RC205_C10x; 576.17; 576.17; 15.37; 6.15
avg; 0.0; 0.0; 0.0;
C103_C15x; 575.18; 575.18; 0.62; 0.25
C106_C15x; 516.6; 516.6; 1.03; 0.41
C202_C15x; 550.32; 550.32; 12.45; 4.98
C208_C15x; 550.02; 550.02; 22.0; 8.8
R102_C15x; 716.56; 716.56; 12.06; 4.82
R105_C15x; 607.96; 607.96; 25.61; 10.24
R202_C15x; 593.69; 593.69; 60.99; 24.4
R209_C15x; 475.1; 482.3; 77.39; 30.95
RC103_C15x; 616.32; 616.32; 1.8; 0.72
RC108_C15x; 603.87; 615.11; 0.33; 0.13
RC202_C15x; 552.7; 587.11; 11.6; 4.64
RC204_C15x; 485.34; 485.34; 15.57; 6.23
avg; 0.0; 0.0; 0.0;
C101_21x; 1494.18; 1538.74; 579.98; 231.99
C102_21x; 1447.86; 1487.11; 572.03; 228.81
C103_21x; 1399.25; 1425.8; 656.63; 262.65
C104_21x; 1400.52; 1439.76; 540.97; 216.39
C105_21x; 1493.69; 1521.13; 466.13; 186.45
C106_21x; 1429.75; 1476.85; 536.93; 214.77
C107_21x; 1485.7; 1513.18; 582.44; 232.98
C108_21x; 1450.96; 1489.63; 523.87; 209.55
C109_21x; 1409.97; 1455.93; 673.76; 269.5
C201_21x; 1208.76; 1233.87; 545.02; 218.01
C202_21x; 1187.87; 1232.74; 703.08; 281.23
C203_21x; 1201.4; 1216.36; 767.58; 307.03
C204_21x; 1161.07; 1181.4; 577.96; 231.18
C205_21x; 1205.23; 1223.94; 664.39; 265.76
C206_21x; 1182.63; 1198.54; 556.03; 222.41
C207_21x; 1173.7; 1188.92; 562.88; 225.15
C208_21x; 1169.69; 1188.85; 652.98; 261.19
avg; 0.0; 0.0; 0.0;
R101_21x; 2179.75; 2306.91; 589.7; 235.88
R102_21x; 1843.45; 2025.31; 300.08; 120.03
R103_21x; 1729.91; 1829.33; 350.64; 140.26
R104_21x; 1470.2; 1628.0; 535.3; 214.12
R105_21x; 1909.13; 1975.78; 463.62; 185.45
R106_21x; 1723.88; 1887.34; 153.16; 61.26
R107_21x; 1490.01; 1670.0; 323.49; 129.4
R108_21x; 1449.13; 1569.62; 184.32; 73.73
R109_21x; 1529.71; 1683.81; 386.16; 154.46
R110_21x; 1470.57; 1513.5; 660.8; 264.32
R111_21x; 1522.49; 1593.35; 483.22; 193.29
R112_21x; 1413.86; 1452.74; 64.47; 25.79
R201_21x; 1218.88; 1252.17; 639.8; 255.92
R202_21x; 1135.84; 1166.67; 564.04; 225.62
R203_21x; 1067.89; 1096.69; 542.58; 217.03
R204_21x; 965.62; 977.19; 591.03; 236.41
R205_21x; 1134.35; 1155.14; 452.03; 180.81
R206_21x; 1092.55; 1117.88; 512.81; 205.12
R207_21x; 1025.08; 1055.93; 512.99; 205.2
R208_21x; 970.31; 996.2; 519.0; 207.6
R209_21x; 1078.0; 1089.28; 597.67; 239.07
R210_21x; 1045.64; 1068.65; 480.4; 192.16
R211_21x; 999.26; 1034.15; 421.96; 168.78
avg; 0.0; 0.0; 0.0;
RC101_21x; 1907.52; 2106.42; 605.26; 242.1
RC102_21x; 1834.97; 2047.79; 397.12; 158.85
RC103_21x; 1728.17; 1846.23; 470.22; 188.09
RC104_21x; 1645.35; 1688.65; 372.96; 149.18
RC105_21x; 1802.85; 1936.87; 506.77; 202.71
RC106_21x; 1750.61; 1807.42; 450.61; 180.24
RC107_21x; 1686.76; 1719.83; 681.21; 272.48
RC108_21x; 1622.76; 1655.21; 760.71; 304.28
RC201_21x; 1318.73; 1358.75; 282.6; 113.04
RC202_21x; 1200.59; 1230.97; 531.87; 212.75
RC203_21x; 1103.43; 1138.82; 624.78; 249.91
RC204_21x; 1040.09; 1054.96; 470.14; 188.06
RC205_21x; 1217.43; 1245.16; 356.82; 142.73
RC206_21x; 1193.11; 1216.17; 610.81; 244.32
RC207_21x; 1106.6; 1146.08; 442.03; 176.81
RC208_21x; 1049.42; 1067.86; 516.79; 206.72
avg; 0.0; 0.0; 0.0;
